variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost
SERVICE ONE Alliance Bank - d530eb8a-6e8d-4a6c-8413-af33618c2730 - 0 to 84,9.99,637.2637391368502,0,38235.82434821101,450.0,38685.82434821101
SERVICE ONE Alliance Bank - d11d0ada-5cdc-4839-8ddc-a2b1cc6e728b - 0 to 84,9.99,637.2637391368502,0,38235.82434821101,450.0,38685.82434821101
SERVICE ONE Alliance Bank - db56dbf7-c697-4b5d-ae09-53d37f0b2cf8 - 0 to 84,15.0,713.6979025907636,0,42821.87415544582,0.0,42821.87415544582
SERVICE ONE Alliance Bank - a7b6edeb-c318-412a-9c78-49038fa6f32b - 0 to 999,16.5,737.5356328896715,0,44252.13797338029,650.0,44902.13797338029
Southern Cross Credit Union - 491a0efb-8751-43f5-afba-5b4cc5620af6 - 12 to 84,7.29,598.1492040940212,0,35888.952245641274,125.0,36013.952245641274
Southern Cross Credit Union - cd11f063-9475-429b-aed0-7a0984c9c991 - 6 to 120,7.49,600.9959088989517,0,36059.7545339371,250.0,36309.7545339371
Summerland Credit Union - 91f9e454-cf13-422d-b101-0023da7d6f6f - 0 to 84,6.22,583.0579183081666,0,34983.47509848999,475.0,35458.47509848999
Summerland Credit Union - 2fbaac06-1ba1-4a53-9138-0016de6e3918 - 0 to 84,6.99,593.8944258963024,0,35633.66555377815,475.0,36108.66555377815
Summerland Credit Union - 211690f7-5405-496c-a839-4b67ef025d9c - 0 to 84,8.22,611.4553941720486,0,36687.32365032292,475.0,37162.32365032292
Suncorp Bank - b3fab533-474f-4747-a611-db6f8668cca7 - 0 to 84,10.99,652.1230894991846,0,39127.38536995108,475.0,39602.38536995108
Suncorp Bank - f88e983d-87df-49b2-bc8c-737c7879bf65 - 0 to 84,11.19,655.1189300888035,0,39307.13580532821,475.0,39782.13580532821
Teachers Mutual Bank - 8031b313-8e90-4e90-b793-173f43e86b71 - 0 to 72,9.95,636.6735310303976,0,38200.41186182386,100.0,38300.41186182386
Teachers Mutual Bank - d5c437d9-8fce-493f-b066-c6b892a12d6a - 0 to 999,12.64,677.076314750006,0,40624.57888500036,0.0,40624.57888500036
The Mac - aa21032f-ab74-419c-8984-501e576998d8 - 0 to 84,8.49,615.3513611934703,0,36921.08167160822,215.0,37136.08167160822
